submercado,semana,data,pld,Year,Month
nordeste,1,2018-01-01,182.69000000000003,2018,1
nordeste,2,2018-01-01,179.98,2018,1
nordeste,3,2018-01-01,162.10666666666665,2018,1
nordeste,4,2018-01-01,190.68999999999997,2018,1
nordeste,5,2018-01-01,176.92666666666665,2018,1
nordeste,6,2018-01-01,0.0,2018,1
norte,1,2018-01-01,168.48666666666668,2018,1
norte,2,2018-01-01,165.65333333333334,2018,1
norte,3,2018-01-01,142.39000000000001,2018,1
norte,4,2018-01-01,145.79666666666665,2018,1
norte,5,2018-01-01,78.72333333333334,2018,1
norte,6,2018-01-01,0.0,2018,1
sudeste,1,2018-01-01,196.54666666666665,2018,1
sudeste,2,2018-01-01,176.79,2018,1
sudeste,3,2018-01-01,163.15333333333334,2018,1
sudeste,4,2018-01-01,193.27333333333334,2018,1
sudeste,5,2018-01-01,175.4333333333333,2018,1
sudeste,6,2018-01-01,0.0,2018,1
sul,1,2018-01-01,200.01,2018,1
sul,2,2018-01-01,178.76999999999998,2018,1
sul,3,2018-01-01,166.02666666666667,2018,1
sul,4,2018-01-01,192.07666666666668,2018,1
sul,5,2018-01-01,151.49,2018,1
sul,6,2018-01-01,0.0,2018,1
nordeste,1,2018-02-01,176.92666666666665,2018,2
nordeste,2,2018-02-01,176.75,2018,2
nordeste,3,2018-02-01,168.18666666666667,2018,2
nordeste,4,2018-02-01,184.5066666666667,2018,2
nordeste,5,2018-02-01,189.38,2018,2
nordeste,6,2018-02-01,0.0,2018,2
norte,1,2018-02-01,78.72333333333334,2018,2
norte,2,2018-02-01,40.16,2018,2
norte,3,2018-02-01,40.16,2018,2
norte,4,2018-02-01,40.16,2018,2
norte,5,2018-02-01,40.16,2018,2
norte,6,2018-02-01,0.0,2018,2
sudeste,1,2018-02-01,175.4333333333333,2018,2
sudeste,2,2018-02-01,179.75,2018,2
sudeste,3,2018-02-01,171.04333333333332,2018,2
sudeste,4,2018-02-01,211.02333333333334,2018,2
sudeste,5,2018-02-01,202.22,2018,2
sudeste,6,2018-02-01,0.0,2018,2
sul,1,2018-02-01,151.49,2018,2
sul,2,2018-02-01,178.64666666666665,2018,2
sul,3,2018-02-01,174.05000000000004,2018,2
sul,4,2018-02-01,214.6,2018,2
sul,5,2018-02-01,202.22,2018,2
sul,6,2018-02-01,0.0,2018,2
nordeste,1,2018-03-01,189.38,2018,3
nordeste,2,2018-03-01,223.4,2018,3
nordeste,3,2018-03-01,236.26666666666665,2018,3
nordeste,4,2018-03-01,218.66666666666666,2018,3
nordeste,5,2018-03-01,229.53,2018,3
nordeste,6,2018-03-01,40.16,2018,3
norte,1,2018-03-01,40.16,2018,3
norte,2,2018-03-01,40.16,2018,3
norte,3,2018-03-01,40.16,2018,3
norte,4,2018-03-01,40.16,2018,3
norte,5,2018-03-01,40.16,2018,3
norte,6,2018-03-01,40.16,2018,3
sudeste,1,2018-03-01,202.22,2018,3
sudeste,2,2018-03-01,223.4,2018,3
sudeste,3,2018-03-01,236.26666666666665,2018,3
sudeste,4,2018-03-01,219.69333333333336,2018,3
sudeste,5,2018-03-01,229.53,2018,3
sudeste,6,2018-03-01,40.16,2018,3
sul,1,2018-03-01,202.22,2018,3
sul,2,2018-03-01,223.4,2018,3
sul,3,2018-03-01,236.26666666666665,2018,3
sul,4,2018-03-01,219.69333333333336,2018,3
sul,5,2018-03-01,229.53,2018,3
sul,6,2018-03-01,40.16,2018,3
nordeste,1,2018-04-01,40.16,2018,4
nordeste,2,2018-04-01,106.83,2018,4
nordeste,3,2018-04-01,122.94333333333333,2018,4
nordeste,4,2018-04-01,136.16,2018,4
nordeste,5,2018-04-01,154.51,2018,4
nordeste,6,2018-04-01,0.0,2018,4
norte,1,2018-04-01,40.16,2018,4
norte,2,2018-04-01,77.94666666666666,2018,4
norte,3,2018-04-01,68.55,2018,4
norte,4,2018-04-01,40.16,2018,4
